subjectID,trial_index,rt,response,prompt,color_rgb,concept,color_index,Age,Gender
00k0mfhb34,8,3215.9,200,a lot of sunshine,#b9b9b9,a lot of sunshine,27,35,male
00k0mfhb34,9,2935.1,200,a lot of sunshine,#fcdb42,a lot of sunshine,69,35,male
00k0mfhb34,10,3214,146,a lot of sunshine,#077acc,a lot of sunshine,4,35,male
00k0mfhb34,11,2073.1,200,a lot of sunshine,#d5b811,a lot of sunshine,68,35,male
00k0mfhb34,12,2704.9,-92,a lot of sunshine,#184415,a lot of sunshine,37,35,male
00k0mfhb34,13,5837.8,133,a lot of sunshine,#e6a8b7,a lot of sunshine,32,35,male
00k0mfhb34,14,2001.3,-43,a lot of sunshine,#0e8a19,a lot of sunshine,50,35,male
00k0mfhb34,15,2986.3,-162,a lot of sunshine,#a553c8,a lot of sunshine,8,35,male
00k0mfhb34,16,2335.2,-200,a lot of sunshine,#777777,a lot of sunshine,26,35,male
00k0mfhb34,17,1819.3,-200,a lot of sunshine,#3b3b3b,a lot of sunshine,25,35,male
00k0mfhb34,18,2108.5,-200,a lot of sunshine,#512d5f,a lot of sunshine,14,35,male
00k0mfhb34,19,3284.4,-164,a lot of sunshine,#1c3d61,a lot of sunshine,11,35,male
00k0mfhb34,20,3987.1,195,a lot of sunshine,#d0e942,a lot of sunshine,67,35,male
00k0mfhb34,21,2799.5,-166,a lot of sunshine,#5e2b3a,a lot of sunshine,30,35,male
00k0mfhb34,22,4164.3,191,a lot of sunshine,#fba714,a lot of sunshine,70,35,male
00k0mfhb34,23,2014.3,184,a lot of sunshine,#39f6e0,a lot of sunshine,20,35,male
00k0mfhb34,24,2270.9,-145,a lot of sunshine,#2e3086,a lot of sunshine,5,35,male
00k0mfhb34,25,2281.5,143,a lot of sunshine,#4dc7e8,a lot of sunshine,10,35,male
00k0mfhb34,26,1996.9,173,a lot of sunshine,#d0b85a,a lot of sunshine,57,35,male
00k0mfhb34,27,2288.5,-175,a lot of sunshine,#72005e,a lot of sunshine,17,35,male
00k0mfhb34,28,2193.8,-200,a lot of sunshine,#600b84,a lot of sunshine,7,35,male
00k0mfhb34,29,3470.7,200,a lot of sunshine,#dddddd,a lot of sunshine,29,35,male
00k0mfhb34,30,2705.1,8,a lot of sunshine,#aac510,a lot of sunshine,66,35,male
00k0mfhb34,31,3857.7,30,a lot of sunshine,#f7db7c,a lot of sunshine,58,35,male
00k0mfhb34,32,2734.5,-69,a lot of sunshine,#3b8378,a lot of sunshine,21,35,male
00k0mfhb34,33,2617.1,48,a lot of sunshine,#eddcad,a lot of sunshine,44,35,male
00k0mfhb34,36,3664.2,150,no sunshine,#2e3086,no sunshine,5,35,male
00k0mfhb34,37,2062.9,-129,no sunshine,#eddcad,no sunshine,44,35,male
00k0mfhb34,38,4272.8,-86,no sunshine,#077acc,no sunshine,4,35,male
00k0mfhb34,39,3682.2,154,no sunshine,#5e2b3a,no sunshine,30,35,male
00k0mfhb34,40,4509.8,-170,no sunshine,#d0e942,no sunshine,67,35,male
00k0mfhb34,41,3098.8,176,no sunshine,#a553c8,no sunshine,8,35,male
00k0mfhb34,42,2043.4,200,no sunshine,#3b3b3b,no sunshine,25,35,male
00k0mfhb34,43,1965.5,185,no sunshine,#1c3d61,no sunshine,11,35,male
00k0mfhb34,44,3452,-124,no sunshine,#4dc7e8,no sunshine,10,35,male
00k0mfhb34,45,2809.8,177,no sunshine,#72005e,no sunshine,17,35,male
