subjectID,trial_index,rt,response,prompt,color_rgb,color_index,Age,Gender
0opxtp6tdk,8,4611.9,-200,wild fire,#b62ef2,3,47,Fema
25sua5qsqp,8,9359.2,-200,ocean water,#c34f74,33,60,fema
2kn462t33j,8,2973.5,-200,ground soil,#4dc7e8,10,57,fema
3d3qpof317,8,51645.3,-200,wild fire,#2f6ef6,0,74,fema
4hbmqfvhg8,8,9900.3,-44,wild fire,#c94e4b,48,57,fema
4w5d63mg60,8,3213.6,-162,wild fire,#3518ad,1,27,Male
55bkqoq905,8,2791.1,164,ocean water,#4dc7e8,10,30,Male
5uabcynqu2,8,5196.1,-200,tree foliage,#a0bae6,13,52,Fema
6lxycch5u6,8,4253.1,200,wild fire,#ea1d1d,62,56,Fema
8hx65uy1n2,8,2409.83,-147,ocean water,#a553c8,8,25,Fema
8naze8lsez,8,17883,-161,glacial ice,#9af443,65,38,male
9d5ncdtwbf,8,5777,200,glacial ice,#a2eade,23,49,fema
9mnc9rt0rz,8,4352,-200,tree foliage,#dddddd,29,36,Male
9srrnppdp5,8,2512,-194,ground soil,#39f6e0,20,32,Male
9xysgr3f4u,8,5144.6,158,glacial ice,#a0bae6,13,38,Male
a12ffhfsm1,8,5695.1,-200,tree foliage,#eddcad,44,57,fema
cpt28f4xzp,8,2841,-159,ocean water,#72005e,17,35,Male
dfm6easn8l,8,14327.6,-73,ocean water,#aac510,66,54,Male
f2mtfm7cfx,8,6134.4,-97,ground soil,#cc4f1b,61,40,fema
fabnabw7hq,8,3010.2,33,wild fire,#e81a4b,49,34,Fema
fruee7bb7w,8,2469,51,ocean water,#ffffff,28,43,male
g8fqksoxo8,8,6031.9,-200,ocean water,#fba714,70,50,male
gnz67glrkn,8,8154.3,-95,glacial ice,#3b8378,21,63,Fema
gupagjo0wv,8,3421.4,-200,ground soil,#2e3086,5,58,woma
hgldvk93ng,8,3848.6,-69,ocean water,#baeaaf,40,30,fema
j6pazp3e7y,8,3972.3,99,ground soil,#897618,56,49,Male
j9adj6gloa,8,3923.7,200,wild fire,#632b14,45,34,Male
jrgu1oot3d,8,1911.1,132,wild fire,#897618,56,32,fema
jvnwunr22e,8,2824.9,-200,ground soil,#4dc7e8,10,30,Male
mmqplzknwl,8,10942,-140,ground soil,#fcdb42,69,30,Male
