,subjectID,responses,question_order,trial_type,trial_index,rt,time_elapsed,condition,correct,response,prompt,color_rgb,concept,time_finished,rowID,color_index,concept_category,subject_id,workerID,stimulus,stimulusLeft,stimulusRight,Age,Gender,Gender2
1,a4o09mqtpl,,,call-function,1,0,13,0,NA,0,,NA,NA,0,697,0,NA,a4o09mqtpl,55555,,,,33,male,M
2,a4o09mqtpl,"{""Consent"":[""<strong>I consent</strong>""]}",[0],survey-multi-selectMAS,2,83470.7,83486,0,NA,0,,NA,NA,0,698,0,NA,a4o09mqtpl,55555,,,,33,male,M
3,a4o09mqtpl,,,html-button-response,3,4654,88141,0,NA,0,,NA,NA,0,699,0,NA,a4o09mqtpl,55555,Welcome! <p> This experiment involves two parts: demographic information followed by an experimental task.<p> It will take about 15 minutes to complete all parts.,,,33,male,M
4,a4o09mqtpl,"{""Age"":""33"",""Gender"":""male"",""Race/ethnicity"":""white"",""Languages"":""english (fluent); spanish (basic)""}",,survey-text,4,44967.1,133114,0,NA,0,,NA,NA,0,700,0,NA,a4o09mqtpl,55555,,,,33,male,M
5,a4o09mqtpl,,,html-keyboard-response,5,12484.3,145600,0,NA,0,,NA,NA,0,701,0,NA,a4o09mqtpl,55555,<p>Great job!</p> You have completed the consent process and answered the demographic questions.<p> Press the spacebar to continue to the experimental task. </p>,,,33,male,M
6,a4o09mqtpl,,,html-button-response,6,27062,172663,0,NA,0,,NA,NA,0,702,0,NA,a4o09mqtpl,55555,"<p>During this experiment you will be asked to compare the darkness between two colors.<p>Below is a color scale ranging from black to white. Colors near the left are darker, with black being the darkest, and colors near the right are lighter, with white being the lightest. All colors fall somewhere along this dimension ranging for dark to light<div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#000000""></div><div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#383838""></div><div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#707070""></div><div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#A8A8A8""></div><div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#ffffff""></div><p> Please keep this idea of darkness in mind during the experiment<p>Press Next to continue to the task instructions",,,33,male,M
7,a4o09mqtpl,,,image-slider-responseMAS-twoColors,7,37148.6,209813,0,NA,0,,NA,NA,0,703,0,NA,a4o09mqtpl,55555,,"<div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#000000""></div>","<div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#ffffff""></div>",33,male,M
8,a4o09mqtpl,,,image-slider-responseMAS-twoColors,8,24620,234934,0,NA,98,,NA,0,1.65E+12,704,16,NA,a4o09mqtpl,55555,,"<div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#67cf5c""></div>","<div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#1c3d61""></div>",33,male,M
9,a4o09mqtpl,,,image-slider-responseMAS-twoColors,9,11146.9,246587,0,NA,-24,,NA,0,1.65E+12,705,9,NA,a4o09mqtpl,55555,,"<div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#f7db7c""></div>","<div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#746bca""></div>",33,male,M
10,a4o09mqtpl,,,image-slider-responseMAS-twoColors,10,6551.7,253645,0,NA,-200,,NA,1,1.65E+12,706,35,NA,a4o09mqtpl,55555,,"<div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#3b3b3b""></div>","<div style= ""height:100px;width:100px;border:00px solid powderblue;display: inline-block;background:#73cf10""></div>",33,male,M
